nc,Campo solar,"(C1,C2, P1)","(HTR,Col,Eva,LTR, Con)","(T1,T2,T3)",Calentador/Recalentador,Total
0.6,58.183099056,5.8265723378,7.0655549535,1.4159695555,27.5088040973,100
0.65,58.9509208777,4.7497663408,6.9996822947,1.4133130806,27.8863174061,100
0.7,59.6115921426,3.8096094189,6.9563672597,1.4106042752,28.2118269036,100
0.75,60.1855621245,2.9822666068,6.9290834236,1.4079200792,28.495167766,100
0.8,60.6884576952,2.2490424923,6.9133236404,1.4053051861,28.743870986,100
0.85,61.1324153108,1.5950862426,6.9059166686,1.40278505,28.963796728,100
0.9,61.526996009,1.0084647522,6.9045962612,1.4003728516,29.1595701261,100
